row_num,transect_dist_id,depth_cm,extract,fraction,replicate,soil_moist_type,p_conc_mgperkg,notes
1,1,10,H2O,Po,1,dried,19.04022002,
2,1,30,H2O,Po,1,dried,13.55980571,
3,1,50,H2O,Po,1,dried,13.64533761,
4,1,100,H2O,Po,1,dried,39.03354919,
5,2,10,H2O,Po,1,dried,9.98082945,
6,2,30,H2O,Po,1,dried,41.88594446,
7,2,50,H2O,Po,1,dried,13.94223477,
8,2,100,H2O,Po,1,dried,8.03924263,
9,3,10,H2O,Po,1,dried,25.41838946,
10,3,30,H2O,Po,1,dried,11.46353775,
11,3,50,H2O,Po,1,dried,5.74203422,
12,3,100,H2O,Po,1,dried,6.8607495,
13,4,10,H2O,Po,1,dried,22.55751057,
14,4,30,H2O,Po,1,dried,10.82646084,
15,4,50,H2O,Po,1,dried,8.38732381,
16,4,100,H2O,Po,1,dried,5.15751126,
17,5,10,H2O,Po,1,dried,26.46826153,
18,5,30,H2O,Po,1,dried,7.34277607,
19,5,50,H2O,Po,1,dried,9.43003696,
20,5,100,H2O,Po,1,dried,6.09331108,
21,6,10,H2O,Po,1,dried,20.62763603,
22,6,30,H2O,Po,1,dried,8.50988754,
23,6,50,H2O,Po,1,dried,7.7402303,
24,6,100,H2O,Po,1,dried,3.96303522,
25,1,10,NaHCO3,Po,1,dried,111.9324135,
26,1,30,NaHCO3,Po,1,dried,69.31894408,
27,1,50,NaHCO3,Po,1,dried,79.67262923,
28,1,100,NaHCO3,Po,1,dried,61.67572059,
29,2,10,NaHCO3,Po,1,dried,54.86652108,
30,2,30,NaHCO3,Po,1,dried,100.8666817,
31,2,50,NaHCO3,Po,1,dried,83.18632608,
32,2,100,NaHCO3,Po,1,dried,44.92760682,
33,3,10,NaHCO3,Po,1,dried,114.6373791,
34,3,30,NaHCO3,Po,1,dried,66.9826776,
35,3,50,NaHCO3,Po,1,dried,42.99642441,
36,3,100,NaHCO3,Po,1,dried,40.72091514,
37,4,10,NaHCO3,Po,1,dried,101.8961321,
38,4,30,NaHCO3,Po,1,dried,52.10472748,
39,4,50,NaHCO3,Po,1,dried,29.28138571,
40,4,100,NaHCO3,Po,1,dried,48.28850149,
41,5,10,NaHCO3,Po,1,dried,120.6310005,
42,5,30,NaHCO3,Po,1,dried,53.14889461,
43,5,50,NaHCO3,Po,1,dried,65.94782749,
44,5,100,NaHCO3,Po,1,dried,22.36608765,
45,6,10,NaHCO3,Po,1,dried,107.9744783,
46,6,30,NaHCO3,Po,1,dried,50.37990034,
47,6,50,NaHCO3,Po,1,dried,40.22897774,
48,6,100,NaHCO3,Po,1,dried,21.84988872,
49,1,10,NaOH,Po,1,dried,240.7,
50,1,30,NaOH,Po,1,dried,154.9,
51,1,50,NaOH,Po,1,dried,184.9,
52,1,100,NaOH,Po,1,dried,308.1,
53,2,10,NaOH,Po,1,dried,117.9,
54,2,30,NaOH,Po,1,dried,208.0,
55,2,50,NaOH,Po,1,dried,154.5,
56,2,100,NaOH,Po,1,dried,59.3,
57,3,10,NaOH,Po,1,dried,248.3,
58,3,30,NaOH,Po,1,dried,129.6,
59,3,50,NaOH,Po,1,dried,80.2,
60,3,100,NaOH,Po,1,dried,77.6,
61,4,10,NaOH,Po,1,dried,233.7,
62,4,30,NaOH,Po,1,dried,106.0,
63,4,50,NaOH,Po,1,dried,63.3,
64,4,100,NaOH,Po,1,dried,87.8,
65,5,10,NaOH,Po,1,dried,261.1,
66,5,30,NaOH,Po,1,dried,126.8,
67,5,50,NaOH,Po,1,dried,142.8,
68,5,100,NaOH,Po,1,dried,26.8,
69,6,10,NaOH,Po,1,dried,236.6,
70,6,30,NaOH,Po,1,dried,98.6,
71,6,50,NaOH,Po,1,dried,83.5,
72,6,100,NaOH,Po,1,dried,50.8,
73,1,10,HCl,Po,1,dried,198.3,
74,1,30,HCl,Po,1,dried,113.9,
75,1,50,HCl,Po,1,dried,124.6,
76,1,100,HCl,Po,1,dried,90.2,
77,2,10,HCl,Po,1,dried,50.5,
78,2,30,HCl,Po,1,dried,185.3,
79,2,50,HCl,Po,1,dried,184.1,
80,2,100,HCl,Po,1,dried,22.6,
81,3,10,HCl,Po,1,dried,212.3,
82,3,30,HCl,Po,1,dried,165.2,
83,3,50,HCl,Po,1,dried,103.0,
84,3,100,HCl,Po,1,dried,85.7,
85,4,10,HCl,Po,1,dried,184.3,
86,4,30,HCl,Po,1,dried,122.7,
87,4,50,HCl,Po,1,dried,92.2,
88,4,100,HCl,Po,1,dried,103.0,
89,5,10,HCl,Po,1,dried,156.6,
90,5,30,HCl,Po,1,dried,118.8,
91,5,50,HCl,Po,1,dried,118.5,
92,5,100,HCl,Po,1,dried,86.5,
93,6,10,HCl,Po,1,dried,135.8,
94,6,30,HCl,Po,1,dried,102.2,
95,6,50,HCl,Po,1,dried,90.0,
96,6,100,HCl,Po,1,dried,43.7,
97,1,10,H2O,Po,1,field_fresh,14.56898531,
98,1,30,H2O,Po,1,field_fresh,29.38662634,
99,1,50,H2O,Po,1,field_fresh,21.7160772,
