row_num,depth_cm,extract,fraction,trans_dist_m,p_conc_ppm
1,10,H2O,Pi,1,1.3
2,30,H2O,Pi,1,1.0
3,50,H2O,Pi,1,1.3
4,100,H2O,Pi,1,2.7
5,10,H2O,Po ,1,14.6
6,30,H2O,Po ,1,29.4
7,50,H2O,Po ,1,21.7
8,100,H2O,Po ,1,40.8
9,10,NaHCO3,Pi,1,21.0
10,30,NaHCO3,Pi,1,14.0
11,50,NaHCO3,Pi,1,14.3
12,100,NaHCO3,Pi,1,33.2
13,10,NaHCO3,Po ,1,87.6
14,30,NaHCO3,Po ,1,57.5
15,50,NaHCO3,Po ,1,57.9
16,100,NaHCO3,Po ,1,103.6
17,10,NaOH,Pi,1,114.4
18,30,NaOH,Pi,1,68.7
19,50,NaOH,Pi,1,83.0
20,100,NaOH,Pi,1,243.8
21,10,NaOH,Po ,1,261.4
22,30,NaOH,Po ,1,170.5
23,50,NaOH,Po ,1,161.8
24,100,NaOH,Po ,1,NA
25,10,HCl,Pi,1,136.4
26,30,HCl,Pi,1,89.7
27,50,HCl,Pi,1,91.7
28,100,HCl,Pi,1,51.0
29,10,HCl,Po ,1,162.4
30,30,HCl,Po ,1,103.9
31,50,HCl,Po ,1,107.3
32,100,HCl,Po ,1,68.0
33,10,H2O,Pi,2,1.0
34,30,H2O,Pi,2,1.7
35,50,H2O,Pi,2,1.7
36,100,H2O,Pi,2,1.7
37,10,H2O,Po ,2,3.8
38,30,H2O,Po ,2,10.6
39,50,H2O,Po ,2,9.3
40,100,H2O,Po ,2,50.5
41,10,NaHCO3,Pi,2,7.2
42,30,NaHCO3,Pi,2,21.3
43,50,NaHCO3,Pi,2,16.4
44,100,NaHCO3,Pi,2,16.4
45,10,NaHCO3,Po ,2,40.0
46,30,NaHCO3,Po ,2,86.5
47,50,NaHCO3,Po ,2,62.1
48,100,NaHCO3,Po ,2,73.0
49,10,NaOH,Pi,2,41.2
50,30,NaOH,Pi,2,116.0
51,50,NaOH,Pi,2,84.1
52,100,NaOH,Pi,2,84.1
53,10,NaOH,Po ,2,154.6
54,30,NaOH,Po ,2,194.3
55,50,NaOH,Po ,2,146.3
56,100,NaOH,Po ,2,148.1
57,10,HCl,Pi,2,43.7
58,30,HCl,Pi,2,136.4
59,50,HCl,Pi,2,118.6
60,100,HCl,Pi,2,118.6
61,10,HCl,Po ,2,64.6
62,30,HCl,Po ,2,173.0
63,50,HCl,Po ,2,136.0
64,100,HCl,Po ,2,60.4
65,10,H2O,Pi,3,0.8
66,30,H2O,Pi,3,0.9
67,50,H2O,Pi,3,1.4
68,100,H2O,Pi,3,2.1
69,10,H2O,Po ,3,7.5
70,30,H2O,Po ,3,5.3
71,50,H2O,Po ,3,4.3
72,100,H2O,Po ,3,19.7
73,10,NaHCO3,Pi,3,14.1
74,30,NaHCO3,Pi,3,10.8
75,50,NaHCO3,Pi,3,7.5
76,100,NaHCO3,Pi,3,6.9
77,10,NaHCO3,Po ,3,82.9
78,30,NaHCO3,Po ,3,47.5
79,50,NaHCO3,Po ,3,30.9
80,100,NaHCO3,Po ,3,26.0
81,10,NaOH,Pi,3,98.2
82,30,NaOH,Pi,3,48.3
83,50,NaOH,Pi,3,39.8
84,100,NaOH,Pi,3,25.6
85,10,NaOH,Po ,3,311.5
86,30,NaOH,Po ,3,137.9
