row_num,transect_dist_id,depth_cm,extract,fraction,soil_moist_type,mean_p_conc_ppm,notes
1,1,10,H2O,Pi,dried,1.08334909,
2,1,30,H2O,Pi,dried,0.49776999,
3,1,50,H2O,Pi,dried,0.57166381,
4,1,100,H2O,Pi,dried,0.64565081,
5,2,10,H2O,Pi,dried,0.4621716,
6,2,30,H2O,Pi,dried,1.05035554,
7,2,50,H2O,Pi,dried,0.8045667,
8,2,100,H2O,Pi,dried,0.61565023,
9,3,10,H2O,Pi,dried,1.11541319,
10,3,30,H2O,Pi,dried,0.52435545,
11,3,50,H2O,Pi,dried,0.4590294,
12,3,100,H2O,Pi,dried,0.55903124,
13,4,10,H2O,Pi,dried,0.78894476,
14,4,30,H2O,Pi,dried,0.33301828,
15,4,50,H2O,Pi,dried,0.36238616,
16,4,100,H2O,Pi,dried,0.46907931,
17,5,10,H2O,Pi,dried,0.95672122,
18,5,30,H2O,Pi,dried,0.4107247,
19,5,50,H2O,Pi,dried,0.56896404,
20,5,100,H2O,Pi,dried,0.39435757,
21,6,10,H2O,Pi,dried,0.78126611,
22,6,30,H2O,Pi,dried,0.43955495,
23,6,50,H2O,Pi,dried,0.2991705,
24,6,100,H2O,Pi,dried,0.48988623,
25,1,10,H2O,Pi,field_fresh,1.34959773,
26,1,30,H2O,Pi,field_fresh,1.02852517,
27,1,50,H2O,Pi,field_fresh,1.31550831,
28,1,100,H2O,Pi,field_fresh,2.65844629,
29,2,10,H2O,Pi,field_fresh,0.98385287,
30,2,30,H2O,Pi,field_fresh,1.72455518,
31,2,50,H2O,Pi,field_fresh,1.73485927,check
32,2,100,H2O,Pi,field_fresh,1.73485927,check
33,3,10,H2O,Pi,field_fresh,0.82904791,
34,3,30,H2O,Pi,field_fresh,0.91739672,
35,3,50,H2O,Pi,field_fresh,1.40933293,
36,3,100,H2O,Pi,field_fresh,2.08396977,
37,4,10,H2O,Pi,field_fresh,0.770004,
38,4,30,H2O,Pi,field_fresh,0.66386495,
39,4,50,H2O,Pi,field_fresh,1.04648229,
40,4,100,H2O,Pi,field_fresh,0.77167248,
41,5,10,H2O,Pi,field_fresh,0.84336939,
42,5,30,H2O,Pi,field_fresh,0.8200372,
43,5,50,H2O,Pi,field_fresh,1.60008939,
44,5,100,H2O,Pi,field_fresh,1.257467,
45,6,10,H2O,Pi,field_fresh,0.51604056,
46,6,30,H2O,Pi,field_fresh,0.39112411,
47,6,50,H2O,Pi,field_fresh,0.43886929,
48,6,100,H2O,Pi,field_fresh,1.9618436,
49,1,10,H2O,Po,dried,19.04022002,
50,1,30,H2O,Po,dried,13.55980571,
51,1,50,H2O,Po,dried,13.64533761,
52,1,100,H2O,Po,dried,39.03354919,
53,2,10,H2O,Po,dried,9.98082945,
54,2,30,H2O,Po,dried,41.88594446,
55,2,50,H2O,Po,dried,13.94223477,
56,2,100,H2O,Po,dried,8.03924263,
57,3,10,H2O,Po,dried,25.41838946,
58,3,30,H2O,Po,dried,11.46353775,
59,3,50,H2O,Po,dried,5.74203422,
60,3,100,H2O,Po,dried,6.8607495,
61,4,10,H2O,Po,dried,22.55751057,
62,4,30,H2O,Po,dried,10.82646084,
63,4,50,H2O,Po,dried,8.38732381,
64,4,100,H2O,Po,dried,5.15751126,
65,5,10,H2O,Po,dried,26.46826153,
66,5,30,H2O,Po,dried,7.34277607,
67,5,50,H2O,Po,dried,9.43003696,
68,5,100,H2O,Po,dried,6.09331108,
69,6,10,H2O,Po,dried,20.62763603,
70,6,30,H2O,Po,dried,8.50988754,
71,6,50,H2O,Po,dried,7.7402303,
72,6,100,H2O,Po,dried,3.96303522,
73,1,10,H2O,Po,field_fresh,14.56898531,
74,1,30,H2O,Po,field_fresh,29.38662634,
75,1,50,H2O,Po,field_fresh,21.7160772,
